"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"61","Minsan gusto ko nalang mag give up sa love eh, kasi sa panahon ngaun coconut oil nalang ang virgin... <ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0085> -Miriam Santiago Defensor",FALSE,0,NA,2016-10-10 08:06:09,FALSE,NA,"785390950499528704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xanniecabillan",0,FALSE,FALSE,NA,NA
"62","""If I could go back in time, di ko ibubuhos ang oras ko sa pag-aaral."" -Miriam Defensor Santiago",FALSE,4,NA,2016-10-10 07:38:03,FALSE,NA,"785383878764527616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gillymarasigan",2,FALSE,FALSE,NA,NA
"63","Miriam Defensor Santiago is the exact opposite of Sen De lima. MDS is full of principles n dignity.while D5 is full of.... #HouseHearing",FALSE,4,NA,2016-10-10 07:18:34,FALSE,NA,"785378975686078464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mitchy1223",0,FALSE,FALSE,NA,NA
"64","I miss you na Miriam Defensor-Santiago!!!<ed><U+00A0><U+00BD><ed><U+00B8><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+263A><U+270C><U+2764>",FALSE,1,NA,2016-10-10 06:38:26,FALSE,NA,"785368876871655424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NSNdanieng",0,FALSE,FALSE,NA,NA
"65","RT @StarCinema: Muling tunghayan ang istorya ng buhay ni Miriam Defensor-Santiago bukas sa #MMKSenatorMiriam !
#MMK25 
For more upd… https:…",FALSE,0,NA,2016-10-10 05:25:51,FALSE,NA,"785350612787396610",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GraceMajasty",26,TRUE,FALSE,NA,NA
"66","RT @StarCinema: Muling tunghayan ang istorya ng buhay ni Miriam Defensor-Santiago bukas sa #MMKSenatorMiriam !
#MMK25 
For more upd… https:…",FALSE,0,NA,2016-10-10 05:25:47,FALSE,NA,"785350595901128704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GraceMajasty",17,TRUE,FALSE,NA,NA
"67","RT @StarCinema: Muling tunghayan ang istorya ng buhay ni Miriam Defensor-Santiago bukas sa #MMKSenatorMiriam !
#MMK25 
For more upd… https:…",FALSE,0,NA,2016-10-10 05:25:45,FALSE,NA,"785350585658716161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GraceMajasty",12,TRUE,FALSE,NA,NA
"68","Because MDS | 14 Inspirational Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/FazAUyoxC2 via @buzzfeed",FALSE,0,NA,2016-10-10 04:20:26,FALSE,NA,"785334147346604032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JodelDacara",0,FALSE,FALSE,NA,NA
"69","In between these Senate hearings and senseless questions, I miss the late Sen. Miriam Defensor-Santiago.",FALSE,2,NA,2016-10-10 04:12:30,FALSE,NA,"785332153928200192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","author_seph",0,FALSE,FALSE,NA,NA
"70","I added a video to a @YouTube playlist https://t.co/EA4Zn4vY9L REMEMBERING FORMER SENATOR MIRIAM DEFENSOR SANTIAGO DIES AT AGE 71 -",FALSE,0,NA,2016-10-10 03:50:45,FALSE,NA,"785326679552094208",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","wardiflex",0,FALSE,FALSE,NA,NA
